_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.062790","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=1 Ack=544 Win=1452 Len=0 TSval=2676070832 TSecr=1087686611"
"0.601262","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.601322","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=544 Ack=544 Win=5608 Len=0 TSval=1087687212 TSecr=2676070954"
"0.602421","172.18.0.2","54.38.73.16","TLSv1.2","2153","Application Data"
"0.628593","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=2629 Win=1448 Len=0 TSval=2676070973 TSecr=1087687213"
"1.011857","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.011914","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=1087 Win=5608 Len=0 TSval=1087687623 TSecr=2676071064"
"1.035875","54.38.73.16","172.18.0.2","TLSv1.2","1125","Application Data"
"1.035919","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=2144 Win=5600 Len=0 TSval=1087687647 TSecr=2676071075"
"1.042606","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.067068","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2144 Ack=3172 Win=1452 Len=0 TSval=2676071083 TSecr=1087687654"
"1.420389","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.420442","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3172 Ack=2687 Win=5608 Len=0 TSval=1087688031 TSecr=2676071153"
"1.421433","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.445647","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2687 Ack=3715 Win=1452 Len=0 TSval=2676071177 TSecr=1087688032"
