_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.064372","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=1 Ack=544 Win=1452 Len=0 TSval=2670478830 TSecr=1065318767"
"0.460038","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.460066","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=544 Ack=544 Win=5608 Len=0 TSval=1065319227 TSecr=2670478918"
"0.460874","172.18.0.2","54.38.73.16","TCP","1516","[TCP segment of a reassembled PDU]"
"0.460930","172.18.0.2","54.38.73.16","TLSv1.2","705","Application Data"
"0.486185","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=1992 Win=1452 Len=0 TSval=2670478935 TSecr=1065319228"
"0.486198","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=2629 Win=1452 Len=0 TSval=2670478935 TSecr=1065319228"
"0.869154","54.38.73.16","172.18.0.2","TLSv1.2","1639","Application Data"
"0.869251","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=2115 Win=5600 Len=0 TSval=1065319636 TSecr=2670479021"
"0.877267","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.900524","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2115 Ack=3172 Win=1452 Len=0 TSval=2670479039 TSecr=1065319644"
"1.687747","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.687799","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3172 Ack=2658 Win=5608 Len=0 TSval=1065320455 TSecr=2670479209"
"1.688707","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.712607","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2658 Ack=3715 Win=1452 Len=0 TSval=2670479241 TSecr=1065320456"
"2.305791","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"2.315346","54.38.73.16","172.18.0.2","TCP","1516","[TCP segment of a reassembled PDU]"
"2.315497","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=4649 Win=5597 Len=0 TSval=1065321082 TSecr=2670479389"
"2.336902","54.38.73.16","172.18.0.2","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"2.338754","54.38.73.16","172.18.0.2","TLSv1.2","828","Application Data"
